id,question,answer,topic,difficulty
074a4e70460948ebb18ba6a67b42d0c7,"What are SageMaker deployment guardrails and shadow testing, and how do they reduce risk during model deployment?","CORE IDEA:
- Safe deployment = controlled rollout + monitoring + rollback

KEY IDEA:
👉 “Never deploy a new model blindly”

---

DEPLOYMENT GUARDRAILS:

Purpose:
- Safely shift traffic to a new model
- Detect issues early
- Enable automatic rollback

---

SUPPORTED ENDPOINTS:

- Real-time inference
- Asynchronous inference

---

BLUE-GREEN DEPLOYMENT:

Blue:
- current production model

Green:
- new model version

---

KEY IDEA:
👉 Two environments → controlled switch

---

DEPLOYMENT MODES:

1. ALL-AT-ONCE

- 100% traffic → Green
- Monitor
- If OK → terminate Blue

---

RISK:
- highest risk (instant switch)

---

2. CANARY DEPLOYMENT

- Small % traffic → Green
- Monitor performance
- If OK → shift 100%

---

KEY IDEA:
👉 “Test on small traffic first”

---

3. LINEAR DEPLOYMENT

- Gradually increase traffic
- Step-by-step rollout

Example:
10% → 30% → 60% → 100%

---

USE CASE:
- Scaling concerns
- Performance validation

---

KEY IDEA:
👉 “Slow rollout = safer rollout”

---

AUTOMATIC ROLLBACK:

If:
- errors increase
- latency spikes
- metrics degrade

Then:
→ traffic returns to Blue

---

KEY BENEFIT:
👉 Fail fast, recover faster

---

SHADOW TESTING:

Purpose:
- Compare new model vs production

---

HOW IT WORKS:

- Production model serves real users
- Shadow model receives same requests

BUT:
- Shadow responses are NOT returned to users

---

KEY IDEA:
👉 “Test in production without risk”

---

COMPARISON:

Production:
- live responses

Shadow:
- evaluation only

---

EVALUATION:

- Compare predictions
- Analyze metrics
- Manual inspection

---

PROMOTION:

- Human decides when to promote shadow → production

---

KEY DIFFERENCE:

Guardrails:
- automatic traffic shifting + rollback

Shadow testing:
- passive comparison (no user impact)

---

MENTAL MODEL:

Guardrails:
→ controlled rollout

Shadow:
→ silent testing

---

WHEN TO USE:

Guardrails:
- replacing existing model

Shadow:
- validating new model safely

---

EXAM TRAPS:

- Shadow testing affects user responses → ❌
- Canary = full traffic shift → ❌
- Linear = one-step rollout → ❌
- Guardrails don’t support rollback → ❌
- Blue-Green = single environment → ❌

---

SUMMARY:

Safe deployment tools:

- Blue/Green deployment
- Canary rollout
- Linear rollout
- Automatic rollback
- Shadow testing

KEY IDEA:
👉 “Test → monitor → then commit”","ml-ops",Medium
e053e00183fc4562b6300e1052e718e1,"What is SageMaker Neo, and how does it enable deploying ML models to edge devices?","CORE IDEA:
- Neo compiles trained models for edge hardware
- Enables “train once → run anywhere”

KEY IDEA:
👉 “Train in cloud → compile → run at edge”

---

WHAT IS SAGEMAKER NEO?

- A model compiler for inference
- Optimizes models for specific hardware

---

PROBLEM IT SOLVES:

Cloud inference:
- High latency
- Requires internet

Edge inference:
- Low latency
- Runs locally

---

KEY USE CASES:

- Self-driving cars
- Smart cameras (e.g., AWS DeepLens)
- IoT devices
- Real-time systems

---

WHY EDGE MATTERS:

👉 “Milliseconds matter”

Example:
- Braking in a car → cannot wait for cloud response

---

SUPPORTED FRAMEWORKS:

- TensorFlow
- PyTorch
- MXNet
- ONNX
- XGBoost

---

SUPPORTED HARDWARE:

- ARM
- Intel
- NVIDIA

---

HOW NEO WORKS:

1. Train model in SageMaker (cloud)
2. Compile model using Neo
3. Optimize for target hardware
4. Deploy to edge device

---

NEO COMPONENTS:

1. Compiler
- Converts model → device-specific format

2. Runtime
- Executes compiled model on device

---

KEY IDEA:
👉 “Neo = compiler + runtime”

---

DEPLOYMENT OPTIONS:

1. Cloud endpoint (same instance type)
2. Edge devices (main use case)

---

IMPORTANT NOTE:

Compiled model must match:
→ target hardware

---

BEST PRACTICE:

Use Neo + IoT Greengrass

---

IOT GREENGRASS ROLE:

- Deploys models to edge devices
- Runs inference locally
- Uses Lambda functions

---

PIPELINE:

SageMaker (train)
→ Neo (compile)
→ Greengrass (deploy)
→ Edge device (infer)

---

KEY IDEA:
👉 “Neo builds it, Greengrass delivers it”

---

BENEFITS:

- Reduced latency
- Offline capability
- Lower bandwidth usage
- Real-time decision making

---

LIMITATION:

- Must compile per hardware type
- Not flexible like cloud inference

---

EXAM TRAPS:

- Neo trains models → ❌ (only compiles)
- Neo runs inference → ❌ (runtime/edge does)
- Neo replaces Greengrass → ❌ (works with it)
- Edge always uses cloud → ❌
- One compiled model works everywhere → ❌ (hardware-specific)

---

MENTAL MODEL:

Cloud:
→ heavy compute (training)

Edge:
→ fast decisions (inference)

Neo:
→ bridge between them

---

SUMMARY:

Neo:
→ Optimizes trained models for edge devices

Pipeline:
→ Train → Compile → Deploy → Infer

KEY IDEA:
👉 “Bring AI to the device, not the device to AI”","ml-ops",Medium
3c48c57ffbd94b988e7695dd7456beb4,"How do you choose the right SageMaker instance type for training/inference, and how does Managed Spot Training reduce cost?","CORE IDEA:
- Match compute type to workload
- Optimize for cost vs performance

KEY IDEA:
👉 “Right instance + right pricing model = efficient ML”

---

INSTANCE SELECTION PRINCIPLES:

1. Deep Learning → GPU instances
- P3, G4 (common)
- Faster training via parallelism

---

2. Traditional ML (non-DL) → CPU instances
- M5 (general purpose)
- C5 (compute optimized)

---

3. Inference:
- Usually lighter than training
- Prefer cheaper instances:
  → C5 (common)
  → M5 (general purpose)

---

IMPORTANT TRADE-OFF:

- GPU = expensive but powerful
- CPU = cheaper but slower

---

KEY INSIGHT:

👉 “One GPU machine can outperform many CPU machines”

---

WHEN TO USE GPU:

- Neural networks
- Transformers
- Computer vision
- NLP models

---

WHEN NOT TO USE GPU:

- Linear models
- Tree-based models (XGBoost, etc.)
- Simple ML workloads

---

COST OPTIMIZATION: MANAGED SPOT TRAINING

- Uses EC2 Spot instances
- Can save up to 90% cost

---

PROBLEM WITH SPOT:

- Instances can terminate anytime

---

SOLUTION:

👉 Use checkpoints (S3)

- Save training progress
- Resume after interruption

---

PIPELINE:

Train → Checkpoint to S3 → Interrupted → Resume from checkpoint

---

TRADE-OFFS:

Pros:
- Massive cost savings

Cons:
- Longer training time
- Resource availability delays
- Added complexity

---

KEY DECISION:

👉 Cost-sensitive → use Spot  
👉 Time-sensitive → use On-Demand

---

EXAM TRAPS:

- GPU always best → ❌ (only for DL)
- Spot is always faster → ❌ (can be slower)
- Spot has no interruption → ❌
- No checkpoint needed → ❌ (critical requirement)
- Inference needs GPU → ❌ (often not)

---

MENTAL MODEL:

Training:
→ heavy compute → choose GPU/CPU wisely

Inference:
→ lightweight → optimize for cost

Spot:
→ cheap but unstable

---

SUMMARY:

Instance selection:
→ Match workload to hardware

Spot training:
→ Save cost with interruption risk

KEY IDEA:
👉 “Optimize for cost, but plan for failure”","ml-ops",Medium
9e3e5b06c9334ab7af99fff6206fcd58,"How does SageMaker auto scaling work for inference endpoints, and how do availability zones improve reliability?","CORE IDEA:
- Scale capacity dynamically
- Ensure high availability via AZ distribution

KEY IDEA:
👉 “Scale with demand + distribute for resilience”

---

AUTO SCALING IN SAGEMAKER:

- Automatically adjusts number of instances
- Applies to inference endpoints (production variants)

---

HOW IT WORKS:

1. Define scaling policy
2. Set target metric (e.g., CPU, invocations)
3. Configure:
   - Min capacity
   - Max capacity
   - Cooldown periods
4. CloudWatch monitors metrics
5. SageMaker scales instances up/down

---

KEY POINT:

👉 Scaling is per production variant (not whole model)

---

USE CASE:

- Traffic spikes → scale up
- Low usage → scale down

---

BENEFITS:

- Cost optimization
- Performance stability
- No manual scaling needed

---

IMPORTANT BEST PRACTICE:

👉 Load test BEFORE production

WHY:
- Prevent under-scaling (failures)
- Prevent over-scaling (cost waste)

---

FAILURE RISKS:

- Too few instances → latency/errors
- Too many → high cost

---

AVAILABILITY ZONES (AZ):

- SageMaker spreads instances across AZs
- Improves fault tolerance

---

KEY REQUIREMENT:

👉 Must have multiple instances

- 1 instance → no AZ distribution
- ≥2 instances → multi-AZ resilience

---

VPC BEST PRACTICE:

- Use at least 2 subnets
- Each in different AZ

---

WHY THIS MATTERS:

- Protect against AZ failure
- Maintain uptime

---

COMBINED STRATEGY:

Auto Scaling + Multi-AZ

→ scalable AND resilient system

---

EXAM TRAPS:

- Scaling applies to whole endpoint → ❌ (per variant)
- Auto scaling doesn’t use CloudWatch → ❌
- One instance is enough for HA → ❌
- AZ distribution automatic with 1 instance → ❌
- No need to test scaling → ❌

---

MENTAL MODEL:

Traffic ↑ → scale out  
Traffic ↓ → scale in  

Failure → AZ redundancy protects system

---

SUMMARY:

Auto Scaling:
→ adjusts capacity dynamically

Availability Zones:
→ ensure high availability

KEY IDEA:
👉 “Scale smart, survive failures”","ml-ops",Medium
2baaddfbd3054316abae302015590dac,"What are the main ways to deploy models in SageMaker and how do you choose between real-time, serverless, and asynchronous inference?","CORE IDEA:
- Deployment method = control vs simplicity
- Inference type = latency vs workload pattern

KEY IDEA:
👉 “Match inference type to workload behavior”

---

MODEL DEPLOYMENT OPTIONS:

1. SageMaker JumpStart
- Easiest
- Pre-trained models
- Auto-deployment via templates

---

2. SageMaker Python SDK (Model Builder)
- More control
- Code-driven deployment

---

3. AWS CloudFormation
- Infrastructure-as-Code
- Repeatable + CI/CD friendly

KEY RESOURCE:
- AWS::SageMaker::Model

---

INFERENCE TYPES:

---

1. REAL-TIME INFERENCE

- Low latency (milliseconds)
- Immediate response required

Use cases:
- Fraud detection
- Recommendations
- APIs

---

2. SERVERLESS INFERENCE

- No infrastructure management
- Scales automatically

Best for:
- Intermittent traffic
- Idle periods

---

TRADE-OFF:

Pros:
- Cost savings (no idle cost)

Cons:
- Cold starts
- Higher latency on first request

---

KEY IDEA:
👉 “Serverless = cost efficient but unpredictable latency”

---

3. ASYNCHRONOUS INFERENCE

- Handles large payloads (up to GBs)
- Long processing times

Workflow:
1. Submit request
2. Process in background
3. Retrieve result later

---

Use cases:
- Image/video processing
- Large batch-like requests
- Non-blocking workflows

---

KEY IDEA:
👉 “Async = don’t wait, come back later”

---

AUTO SCALING:

- Adjusts instance count dynamically
- Based on traffic (CloudWatch)

---

MIDDLE GROUND:

- Not serverless
- Not manual
→ managed scaling

---

SAGEMAKER NEO (INFERENCE OPTIMIZATION):

- Compiles model for target hardware
- Improves inference speed

Use with:
- Inferentia
- Edge devices

---

DEPLOYMENT DECISION GUIDE:

1. Need instant response?
→ Real-time

2. Traffic is unpredictable?
→ Serverless

3. Large payload / long processing?
→ Async

---

EXAM TRAPS:

- Serverless always fastest → ❌ (cold starts)
- Async is real-time → ❌
- JumpStart gives full control → ❌
- Real-time handles large payloads well → ❌
- Neo used for training → ❌ (only inference optimization)

---

MENTAL MODEL:

Real-time:
→ fast, always on

Serverless:
→ flexible, cost-saving

Async:
→ slow but scalable

---

SUMMARY:

Deployment:
→ JumpStart / SDK / CloudFormation

Inference:
→ Real-time / Serverless / Async

KEY IDEA:
👉 “Right deployment + right inference = scalable system”","ml-ops",Medium
a7aefa29d46045e996bf9e3b4353fd85,"What is SageMaker Serverless Inference and Inference Recommender, and how do they optimize cost and performance?","CORE IDEA:
- Serverless → automatic scaling (no infra)
- Recommender → choose best instance

KEY IDEA:
👉 “Don’t guess capacity — automate or benchmark it”

---

SAGEMAKER SERVERLESS INFERENCE:

- Fully managed inference (no servers)
- Auto scales based on traffic

---

HOW IT WORKS:

You define:
- Container
- Memory requirements
- Concurrency

AWS handles:
→ provisioning + scaling

---

KEY FEATURE:

👉 Scales to ZERO when idle

---

BEST USE CASES:

- Unpredictable traffic
- Low-frequency workloads
- Cost-sensitive systems

---

PRICING MODEL:

- Pay per usage
- No cost during idle time

---

BENEFITS:

- No infrastructure management
- Cost-efficient
- Auto scaling built-in

---

LIMITATIONS:

- Cold starts (latency spike)
- Requires accurate memory/concurrency config

---

CLOUDWATCH METRICS:

- Model setup time
- Invocations / errors
- Memory utilization

---

KEY IDEA:
👉 “Wrong config → performance issues”

---

SAGEMAKER INFERENCE RECOMMENDER:

- Suggests best instance types
- Automates load testing

---

HOW IT WORKS:

1. Register model
2. Run benchmarks
3. Test multiple instance configs
4. Output:
   - Cost
   - Latency
   - Throughput

---

OUTPUT EXAMPLE:

- Instance type (e.g., ml.c5.xlarge)
- Cost per hour
- Cost per inference
- Latency metrics

---

MODES:

1. INSTANCE RECOMMENDATIONS
- Auto test AWS-selected instances
- Faster (~45 mins)

---

2. ENDPOINT RECOMMENDATIONS

- Custom load testing
- Define:
  - Traffic patterns
  - Latency targets
  - Throughput

- Slower (~2 hours)
- More precise

---

KEY DIFFERENCE:

👉 Instance = quick suggestion  
👉 Endpoint = tailored optimization

---

WHEN TO USE WHAT:

- Unknown workload → Serverless
- Known workload → Auto scaling / instances
- Need best instance → Recommender

---

EXAM TRAPS:

- Serverless has no latency issues → ❌ (cold starts)
- Recommender deploys model → ❌ (only suggests)
- Serverless = best for steady traffic → ❌
- Instance recommendation = custom testing → ❌
- Endpoint recommendation = quick → ❌ (slower)

---

MENTAL MODEL:

Serverless:
→ “Let AWS decide capacity”

Recommender:
→ “Test before you decide”

---

SUMMARY:

Serverless:
→ auto scaling + cost optimization

Recommender:
→ performance + cost benchmarking

KEY IDEA:
👉 “Automate scaling OR intelligently choose capacity”","ml-ops",Medium
bd82b8d866e7430d8eb1e4b8340ac530,"What are SageMaker Inference Pipelines, and when should you use them?","CORE IDEA:
- Chain multiple models/containers together
- Build end-to-end inference workflows

KEY IDEA:
👉 “One request → multiple processing steps”

---

WHAT IS AN INFERENCE PIPELINE?

- Sequence of Docker containers
- Each performs a step in inference

---

PIPELINE STRUCTURE:

Container 1 → Container 2 → … → Container N

---

TYPICAL FLOW:

1. Pre-processing
2. Model inference
3. Post-processing

---

EXAMPLE:

Input:
→ Raw data

Pipeline:
→ Clean data → Predict → Format output

---

KEY CAPABILITY:

- Combine different frameworks:
  - Scikit-learn
  - Spark ML
  - Custom models
  - Built-in algorithms

---

CONTAINER LIMIT:

- Minimum: 2
- Maximum: 15

---

KEY IDEA:
👉 “Modular ML inference system”

---

WHY USE PIPELINES?

- Separate concerns (clean architecture)
- Reuse components
- Simplify complex workflows

---

SUPPORTED MODES:

1. Real-time inference
2. Batch transform

---

KEY INSIGHT:

👉 Works for BOTH real-time AND batch

---

SPARK ML NOTE:

- Can integrate Spark ML pipelines
- Serialized as MLeap format

---

USE CASES:

- Feature engineering + model prediction
- Multi-stage ML systems
- Data transformation pipelines

---

BENEFITS:

- Cleaner architecture
- Easier maintenance
- Flexibility across tools

---

LIMITATIONS:

- Linear only (no branching)
- Added latency per step

---

EXAM TRAPS:

- Pipelines only for training → ❌ (inference only)
- Only one container → ❌
- Works only for real-time → ❌ (also batch)
- Supports unlimited containers → ❌ (max 15)
- Cannot mix frameworks → ❌

---

MENTAL MODEL:

Single model:
→ Input → Output

Pipeline:
→ Input → Transform → Predict → Transform → Output

---

SUMMARY:

Inference pipelines:
→ Chain multiple containers for inference

KEY IDEA:
👉 “Break inference into stages for flexibility and reuse”","ml-ops",Medium
7659fa63f0464077b1f9fdda1fa98678,"What is SageMaker Model Monitor, and how does it detect drift, bias, and model degradation in production?","CORE IDEA:
- Monitor deployed models continuously
- Detect data drift, model drift, and bias

KEY IDEA:
👉 “Train → Deploy → Monitor → React”

---

WHAT IS MODEL MONITOR?

- Tracks model performance after deployment
- Detects deviations from baseline

---

WHY IT MATTERS:

- Data changes over time (data drift)
- Model performance degrades
- Bias can emerge

---

KEY CAPABILITIES:

1. DATA DRIFT DETECTION

- Changes in input data distribution

Examples:
- Income distribution shifts
- Missing features

---

2. MODEL QUALITY DRIFT

- Changes in prediction performance

Metrics:
- Accuracy
- RMSE
- Precision / Recall

---

3. BIAS DRIFT

- Detects emerging bias in predictions
- Uses Clarify integration

Examples:
- Skew across age, gender, income

---

4. FEATURE ATTRIBUTION DRIFT

- Tracks importance of features

Metric:
- NDCG (ranking comparison)

---

KEY IDEA:
👉 “Which features matter → and how that changes”

---

5. ANOMALY DETECTION

- Outliers
- New/unexpected values

---

6. NEW FEATURE DETECTION

- Detects unseen input features

---

HOW IT WORKS:

1. Define baseline (training data)
2. Monitor live data
3. Compare against baseline
4. Trigger alerts if deviation

---

BASELINES:

- Data quality baseline
- Model quality baseline

---

GROUND TRUTH SUPPORT:

- Compare predictions vs actual labels
- Detect real performance degradation

---

INFRASTRUCTURE:

- Data stored in S3
- Metrics sent to CloudWatch
- Alerts via CloudWatch Alarms

---

MONITORING SETUP:

- Requires monitoring schedule
- Runs periodically

---

VISUALIZATION:

- SageMaker Studio
- TensorBoard
- QuickSight
- Tableau

---

NO CODE REQUIRED:

- Can configure via UI

---

KEY RESPONSE ACTIONS:

- Retrain model
- Audit data
- Adjust pipeline

---

EXAM TRAPS:

- Model Monitor trains models → ❌
- Works only during training → ❌
- No baseline needed → ❌ (critical)
- Detects only data drift → ❌
- No integration with CloudWatch → ❌

---

MENTAL MODEL:

Baseline:
→ “What normal looks like”

Monitoring:
→ “Is reality changing?”

---

SUMMARY:

Model Monitor:
→ tracks drift, bias, and performance

Pipeline:
→ Baseline → Monitor → Alert → Fix

KEY IDEA:
👉 “Models degrade silently — monitor them”","ml-ops",Medium
c4621e5d71ac423ebadb791230344df9,"What is SageMaker Model Monitor Data Capture, and how is it used in monitoring and continuous learning?","CORE IDEA:
- Capture real inference data
- Enable monitoring + feedback loop

KEY IDEA:
👉 “Capture → Analyze → Improve”

---

WHAT IS DATA CAPTURE?

- Logs:
  - Input data to endpoints
  - Output predictions

- Stored in:
  → S3 (JSON format)

---

SUPPORTED MODES:

- Real-time inference
- Batch transform

---

KEY PURPOSES:

1. MONITORING

- Compare live data vs baseline
- Detect drift over time

---

2. DEBUGGING

- Inspect:
  - Inputs
  - Outputs
- Diagnose issues

---

3. CONTINUOUS TRAINING

- Use captured data to:
  → retrain models
  → improve accuracy

---

KEY IDEA:
👉 “Production data = best training data”

---

HOW IT WORKS:

1. Enable data capture on endpoint
2. Capture requests/responses
3. Store in S3
4. Analyze via Model Monitor

---

INTEGRATION:

- Works with Model Monitor
- Supports:
  - Boto3
  - SageMaker SDK

---

SECURITY:

- Supports encryption
- Protect sensitive inference data

---

IMPORTANT CAPABILITY:

👉 Compare captured data to baseline

- Detect:
  - Data drift
  - Distribution changes

---

EXAM TRAPS:

- Data Capture trains models → ❌ (just collects data)
- Only input is captured → ❌ (input + output)
- Works only for real-time → ❌ (also batch)
- Stores data in database → ❌ (S3)
- No security support → ❌ (supports encryption)

---

MENTAL MODEL:

Endpoint:
→ receives request → produces prediction

Data Capture:
→ logs everything for later analysis

---

SUMMARY:

Data Capture:
→ records inference inputs/outputs

Used for:
→ monitoring, debugging, retraining

KEY IDEA:
👉 “You can’t improve what you don’t capture”","ml-ops",Medium
33e7ac758cdd45689cbd43295e057cae,"What is MLOps, and how do SageMaker Projects, Pipelines, and Kubeflow integrations support it?","CORE IDEA:
- MLOps = lifecycle management of ML systems
- Automates build → train → deploy → monitor

KEY IDEA:
👉 “ML is not just models — it’s pipelines”

---

WHAT IS MLOPS?

- Managing:
  - Data processing
  - Training
  - Evaluation
  - Deployment
  - Monitoring

- Focus:
  → automation + reproducibility + scalability

---

PROBLEM MLOPS SOLVES:

- Manual ML workflows
- Hard-to-reproduce models
- No CI/CD for ML
- Difficult deployment + monitoring

---

SAGEMAKER APPROACH (2 PATHS):

1. Kubernetes-based (external)
2. Native SageMaker (internal)

---

1. KUBERNETES / KUBEFLOW INTEGRATION:

Use when:
- Existing K8s infrastructure
- Hybrid (on-prem + cloud)

Tools:
- Kubeflow pipelines
- SageMaker components

---

SAGEMAKER COMPONENTS FOR KUBEFLOW:

Provide steps for:

- Processing (e.g., Spark)
- Training
- Hyperparameter tuning
- Inference / deployment

---

KEY IDEA:
👉 “Bring SageMaker into existing pipelines”

---

USE CASE:

- Gradual cloud migration
- Sensitive data stays on-prem
- Hybrid ML workflows

---

2. SAGEMAKER NATIVE MLOPS:

Use when:
- Fully AWS-based
- Starting fresh

---

SAGEMAKER PROJECTS:

- End-to-end MLOps solution
- Includes:
  - CI/CD
  - pipelines
  - automation

---

SAGEMAKER PIPELINES:

Define workflow steps:

1. Data processing
2. Training
3. Evaluation
4. Model registration

---

KEY IDEA:
👉 “Pipelines = DAG of ML steps”

---

MODEL REGISTRY:

- Stores trained models
- Enables:
  - versioning
  - approval
  - deployment

---

FULL MLOPS FLOW (ADVANCED):

1. Code commit
2. EventBridge trigger
3. CodePipeline starts
4. CodeBuild runs pipeline
5. SageMaker Pipeline executes:
   - process
   - train
   - evaluate
   - register
6. Deploy pipeline:
   - staging → testing → production

---

KEY AWS SERVICES:

- EventBridge → triggers
- CodePipeline → orchestration
- CodeBuild → execution
- CloudFormation → deployment
- S3 → storage

---

KEY INSIGHT:

👉 “MLOps = CI/CD for machine learning”

---

EXAM TRAPS:

- Pipelines = training only → ❌ (full lifecycle)
- Projects = storage → ❌ (MLOps framework)
- Kubeflow replaces SageMaker → ❌ (integration)
- MLOps = model training → ❌ (end-to-end lifecycle)

---

MENTAL MODEL:

Traditional ML:
→ notebook → model → done ❌

MLOps:
→ pipeline → automation → monitoring → retraining ✅

---

SUMMARY:

MLOps ensures:
→ scalable, repeatable ML systems

SageMaker:
- Projects → orchestration
- Pipelines → workflow
- Kubeflow → hybrid integration

KEY IDEA:
👉 “No pipeline = no production ML”","ml-ops",Medium
