id,question,answer,topic,difficulty
782ee7107d6b425c95253b0a920cebb8,"What is Amazon SageMaker, what problem does it solve, and how does it manage the end-to-end ML workflow?","WHAT:
- Fully managed ML platform on AWS
- Covers entire ML lifecycle:
  - Data preparation
  - Model training
  - Deployment (inference)
  - Monitoring and iteration

WHY:
- ML workflow is complex and fragmented:
  - Data engineering
  - Model training infrastructure
  - Deployment scaling
  - Monitoring and retraining
- SageMaker unifies all these into one platform

ML WORKFLOW (CYCLE):
1. Data preparation (feature engineering)
2. Train model
3. Evaluate model
4. Deploy model (inference)
5. Collect new data
6. Retrain and improve model
- Continuous improvement loop

ARCHITECTURE:

TRAINING:
- Input data:
  - Stored in S3
- Training code:
  - Docker image from ECR
- Compute:
  - SageMaker provisions training instances
- Output:
  - Trained model artifacts stored in S3

INFERENCE (DEPLOYMENT):
- Inference code:
  - Docker image from ECR
- Model:
  - Loaded from S3
- Compute:
  - SageMaker provisions endpoints (EC2-based)
- Output:
  - Predictions returned via API endpoint

KEY COMPONENTS:
- S3 → data storage
- ECR → container images (training + inference)
- EC2 → compute (managed by SageMaker)
- Endpoints → real-time predictions

WAYS TO USE SAGEMAKER:
- SageMaker Notebooks (Jupyter on EC2)
- SageMaker Console (UI)
- SDK / API

CAPABILITIES:
- Built-in ML algorithms
- Bring your own model (TensorFlow, PyTorch, etc.)
- Hyperparameter tuning
- Auto scaling endpoints
- Batch transform (offline inference)
- Real-time inference endpoints
- Integration with Spark, Athena, EMR

DATA SOURCES:
- S3 (primary)
- Athena
- EMR
- Redshift
- Keyspaces
- Spark integration

DEPLOYMENT OPTIONS:
- Real-time endpoint:
  - Low latency predictions
- Batch transform:
  - Large-scale offline predictions

ADVANCED FEATURES:
- Inference pipelines
- SageMaker Neo (edge deployment)
- Auto scaling endpoints
- Shadow testing (compare models)

EXAM TRAP:
- Thinking SageMaker is only for training (it is full lifecycle)
- Forgetting ECR is used for containers
- Confusing training vs inference containers
- Not knowing S3 stores both input and model artifacts
- Ignoring batch vs real-time inference difference

SUMMARY:
- SageMaker = end-to-end ML platform (data → train → deploy → improve)","sagemaker-algo",Medium
9ad6acf3ff1548df91584c679d54aea7,"What is the SageMaker Linear Learner algorithm, what problems does it solve, and what are its key characteristics and requirements?","WHAT:
- Built-in SageMaker algorithm for linear models
- Based on linear regression concepts
- Uses a linear function to model relationships

WHY:
- Regression:
  - Predict continuous values
- Classification:
  - Binary classification
  - Multi-class classification
- Works when data is linearly separable

CORE IDEA:
- Fits a line (or hyperplane) to data
- Uses linear threshold for classification

KEY CAPABILITIES:
- Supports:
  - Regression
  - Binary classification
  - Multi-class classification
- Trains multiple models in parallel and selects best
- Uses stochastic gradient descent (SGD)
- Supports optimizers:
  - SGD
  - Adam
  - Adagrad

INPUT FORMATS:
- Preferred:
  - RecordIO-protobuf (Float32)
- Also supports:
  - CSV
    - First column = label
    - Remaining = features

DATA INGESTION MODES:
- File mode:
  - Copies full dataset to each instance
- Pipe mode:
  - Streams data from S3
  - More efficient for large datasets

DATA REQUIREMENTS:
- Data must be:
  - Normalized (very important)
  - Shuffled
- Normalization:
  - Can be done manually OR by algorithm

REGULARIZATION:
- L1:
  - Feature selection
- L2 (weight decay):
  - Prevents overfitting

IMPORTANT HYPERPARAMETERS:
- Learning rate
- Batch size
- L1 regularization
- L2 regularization (weight decay)
- Balanced multi-class weights
- Target precision / recall tuning

PRECISION vs RECALL CONTROL:
- Can optimize:
  - Precision at target recall
  - Recall at target precision

COMPUTE:
- Supports:
  - CPU and GPU
  - Single or multiple machines
- Important:
  - Multi-GPU on single machine does NOT help

USE CASES:
- Simple predictive models
- Baseline models
- Linearly separable datasets
- Even usable for image classification (e.g., MNIST)

LIMITATIONS:
- Assumes linear relationships
- Poor performance on non-linear data

EXAM TRAP:
- Forgetting normalization requirement
- Not shuffling data
- Using file mode for large datasets (inefficient)
- Thinking it only supports regression (it also does classification)
- Using it for non-linear problems

SUMMARY:
- Linear Learner = fast, scalable linear model for regression + classification","sagemaker-algo",Medium
590d00747fa342dd865e3cc3dddb0cec,"What is the SageMaker XGBoost algorithm, what problems does it solve, and what are its key characteristics, tuning parameters, and performance considerations?","WHAT:
- Extreme Gradient Boosting algorithm
- Ensemble of decision trees (boosted trees)
- Builds trees sequentially to correct previous errors

WHY:
- Regression:
  - Predict continuous values
- Classification:
  - Binary and multi-class classification
- Works well on structured/tabular data

CORE IDEA:
- Boosting:
  - Each new tree corrects errors of previous trees
- Uses gradient descent to minimize loss

KEY CHARACTERISTICS:
- Very high performance and accuracy
- Widely used in real-world ML (Kaggle winner)
- Fast and scalable
- Based on open-source XGBoost

INPUT FORMATS:
- Supported:
  - CSV
  - LibSVM
  - RecordIO-protobuf
  - Parquet

USAGE OPTIONS:
- Built-in SageMaker algorithm (via ECR Docker image)
- Direct use inside SageMaker notebook (Python library)

MODEL STORAGE:
- Uses Python pickle for serialization

KEY HYPERPARAMETERS:

OVERFITTING CONTROL:
- subsample:
  - Reduces overfitting
- eta (learning rate):
  - Smaller = more conservative
- max_depth:
  - Deeper trees → risk of overfitting

REGULARIZATION:
- alpha:
  - L1 regularization
- lambda:
  - L2 regularization
- gamma:
  - Minimum loss reduction for splits

IMBALANCED DATA:
- scale_pos_weight:
  - Balances positive vs negative classes
  - Important for skewed datasets

EVALUATION:
- eval_metric:
  - error, RMSE, AUC, etc.
  - Defines optimization objective

GPU TRAINING:
- Supported (newer versions)
- Enable with:
  - tree_method = gpu_hist

DISTRIBUTED GPU TRAINING:
- Requires:
  - tree_method = gpu_hist
  - use_dask_gpu_training = true
  - distribution = fully_replicated
- Supported formats:
  - CSV, Parquet

PERFORMANCE CHARACTERISTICS:
- CPU training:
  - Memory-bound (not compute-bound)
  - Use memory-optimized instances (e.g., M5)
- GPU training:
  - Faster and more cost-efficient

USE CASES:
- Tabular datasets
- Structured data problems
- Fraud detection
- Ranking/classification tasks

LIMITATIONS:
- Requires careful hyperparameter tuning
- Many parameters → harder to optimize

EXAM TRAP:
- Forgetting it supports both regression and classification
- Ignoring overfitting controls (eta, subsample, max_depth)
- Not using scale_pos_weight for imbalanced data
- Assuming CPU is compute-bound (it is memory-bound)
- Forgetting GPU option (gpu_hist)

SUMMARY:
- XGBoost = powerful boosted tree algorithm for structured data with strong performance","sagemaker-algo",Medium
c5cd347a03434962aa13bb29ecfe681a,"What is the SageMaker Seq2Seq algorithm, what problem does it solve, and what are its key characteristics, inputs, use cases, and performance considerations?","WHAT:
- Sequence-to-sequence deep learning model
- Takes a sequence of tokens as input
- Outputs another sequence of tokens

WHY:
- Transform one sequence into another:
  - Text → translated text
  - Document → summary
  - Audio → text

CORE IDEA:
- Input:
  - Sequence of tokens (words, audio tokens, etc.)
- Output:
  - Transformed sequence

COMMON USE CASES:
- Machine translation
- Text summarization
- Speech-to-text

MODEL ARCHITECTURE:
- Can use:
  - RNNs (Recurrent Neural Networks)
  - CNNs with attention mechanisms

INPUT FORMAT:
- RecordIO-Protobuf (required)
- Tokens must be integers
- Requires:
  - Tokenized input data
  - Vocabulary file (word → index mapping)

DATA REQUIREMENTS:
- Cannot use raw text
- Must:
  - Tokenize text
  - Convert words to numeric indices
  - Provide vocabulary mapping

TRAINING INPUT:
- Training dataset
- Validation dataset
- Vocabulary file

PRE-TRAINED MODELS:
- Available for common tasks (e.g. translation)
- Public datasets available

KEY HYPERPARAMETERS:
- batch_size
- optimizer:
  - Adam / SGD / RMSProp
- learning_rate
- number of layers

EVALUATION METRICS:
- BLEU score:
  - Compares output with multiple references
- Perplexity:
  - Measures prediction uncertainty (cross-entropy)

PERFORMANCE CHARACTERISTICS:
- Very computationally expensive
- Training can take days

INSTANCE TYPES:
- GPU required:
  - Prefer P3 / GPU instances
- Single-machine training only:
  - Cannot distribute across multiple machines
- Can use:
  - Multiple GPUs on one machine

LIMITATIONS:
- No distributed training across nodes
- Requires heavy preprocessing (tokenization)
- High compute cost

EXAM TRAP:
- Feeding raw text instead of tokenized input
- Forgetting vocabulary file requirement
- Using CPU instead of GPU
- Not knowing BLEU/perplexity metrics
- Assuming distributed training is supported

SUMMARY:
- Seq2Seq = deep learning model for transforming sequences (e.g. translation, summarization)","sagemaker-algo",Medium
336ceb08819f4703be44d0ef9036fcfc,"What is the SageMaker BlazingText algorithm, what problem does it solve, and what are its key modes, inputs, use cases, and performance considerations?","WHAT:
- NLP algorithm in SageMaker
- Limited scope (not full NLP system)

WHY:
- Text classification
- Word embeddings (word2vec)

CORE MODES:

TEXT CLASSIFICATION:
- Supervised learning
- Input:
  - Sentences with labels
- Output:
  - Predicted label for sentence

WORD2VEC:
- Unsupervised learning
- Learns word embeddings
- Maps words to vectors:
  - Similar words → close vectors

KEY USE CASES:
- Text classification:
  - Search ranking
  - Categorization
- Word embeddings:
  - Input to other NLP models

IMPORTANT LIMITATIONS:
- Works on sentences (not full documents)
- Word2Vec works on words only (not sentences)

INPUT FORMAT:

TEXT CLASSIFICATION:
- One sentence per line
- Format:
  - __label__<label> sentence
- Requirements:
  - Tokenized text
  - Lowercased
  - Spaces around punctuation

WORD2VEC:
- One sentence per line
- Tokenized text only

ALTERNATIVE FORMAT:
- Augmented manifest format:
  - Structured JSON-like format

WORD2VEC MODES:

CBOW (Continuous Bag of Words):
- Ignores word order
- Treats text as unordered words

SKIP-GRAM:
- Considers word order
- Learns word relationships

BATCH SKIP-GRAM:
- Distributed version
- Supports multi-machine training
- CPU only

KEY HYPERPARAMETERS:

WORD2VEC:
- mode (cbow / skip-gram / batch skip-gram)
- learning_rate
- window_size
- vector_dim
- negative_samples

TEXT CLASSIFICATION:
- epochs
- learning_rate
- word_ngrams
- vector_dim

PERFORMANCE CHARACTERISTICS:

TEXT CLASSIFICATION:
- CPU or GPU
- Small data:
  - Use C5
- Larger data:
  - Use P2 / P3

WORD2VEC:
- CBOW / SKIP-GRAM:
  - GPU supported
  - Single machine only
- BATCH SKIP-GRAM:
  - Multi-machine CPU only

LIMITATIONS:
- Cannot process full documents
- Limited NLP capabilities
- Requires preprocessing (tokenization)

EXAM TRAP:
- Thinking it's full NLP system (it's limited)
- Using documents instead of sentences
- Confusing word2vec with classification
- Forgetting input format (__label__)
- Not knowing CBOW vs skip-gram differences

SUMMARY:
- BlazingText = fast NLP tool for text classification + word embeddings (word2vec)","sagemaker-algo",Medium
39c60c59b6be4f3aaf8aa82b5ef2d5e1,"What is the SageMaker Object2Vec algorithm, what problem does it solve, and what are its key characteristics, inputs, use cases, and performance considerations?","WHAT:
- General-purpose embedding algorithm
- Extension of Word2Vec
- Works on arbitrary objects (not just words)

WHY:
- Learns similarity between objects
- Converts high-dimensional objects into dense vectors

CORE IDEA:
- Embedding model:
  - Similar objects → close vectors
- Reduces dimensionality:
  - Complex objects → low-dimensional representation

KEY DIFFERENCE VS WORD2VEC:
- Word2Vec:
  - Works on words only
- Object2Vec:
  - Works on any objects:
    - Documents
    - Users
    - Items
    - Products

INPUT REQUIREMENTS:
- Must be tokenized into integers
- Input is:
  - Pairs of sequences or tokens

INPUT STRUCTURE:
- Two input channels:
  - Object A
  - Object B
- Examples:
  - User → item
  - Product → product
  - Sentence → sentence
  - Label → sequence

MODEL ARCHITECTURE:
- Two parallel encoders:
  - Encoder 1 (Object A)
  - Encoder 2 (Object B)
- Encoded outputs compared via:
  - Comparator
- Followed by:
  - Feedforward neural network

ENCODER OPTIONS:
- Average pooled embeddings
- CNN (Convolutional Neural Network)
- Bi-directional LSTM

USE CASES:
- Recommendation systems:
  - Similar users
  - Similar items
- Clustering:
  - Group similar objects
- Nearest neighbor search
- Genre prediction
- Similarity detection

KEY HYPERPARAMETERS:
- epochs
- batch_size
- learning_rate
- dropout
- early stopping
- number of layers
- activation function
- optimizer
- weight decay

ENCODER SETTINGS:
- encoder_1_network
- encoder_2_network
  - Defines encoder type per input

PERFORMANCE CHARACTERISTICS:
- Deep learning model
- Computationally intensive

INSTANCE TYPES:

TRAINING:
- Single machine only
- CPU or GPU supported
- Recommended:
  - CPU: ml.m5.2xlarge
  - GPU: ml.p2.xlarge

SCALING:
- Can use multi-GPU (single machine)
- Cannot distribute across multiple machines

INFERENCE:
- CPU or GPU supported
- Recommended:
  - ml.p3.2xlarge
- Use:
  - inference_preferred_mode for optimization

LIMITATIONS:
- Requires paired input data
- Requires tokenization
- No distributed training across nodes

EXAM TRAP:
- Confusing with Word2Vec (Object2Vec is general)
- Forgetting input is pairs of objects
- Feeding raw data instead of tokenized integers
- Assuming multi-machine training
- Not recognizing recommendation system use case

SUMMARY:
- Object2Vec = embedding model for learning similarity between arbitrary objects","sagemaker-algo",Medium
80d150f268c349f6bea4c76c1ccc107a,"What is the SageMaker Image Classification algorithm, how does it differ from object detection, and what are its key characteristics, modes, inputs, and performance considerations?","WHAT:
- Assigns labels to an image
- Identifies WHAT is in the image
- Does NOT identify location of objects

DIFFERENCE VS OBJECT DETECTION:
- Image Classification:
  - Outputs labels only
  - Example: cat
- Object Detection:
  - Outputs labels + bounding boxes
  - Example: cat at (x,y)

WHY:
- Identify objects present in an image
- Multi-label classification possible

FRAMEWORK VARIANTS:
- MXNet version
- TensorFlow version
- Treated as separate implementations in SageMaker

MXNET MODES:
- Full training:
  - Random weight initialization
- Transfer learning:
  - Uses pre-trained weights
  - Final layer initialized randomly
  - Fine-tunes model on new data

TRANSFER LEARNING:
- Allows reuse of pre-trained models
- Adapt to new object classes

INPUT CHARACTERISTICS:
- Images (RGB)
- Default MXNet input size:
  - 224 x 224 x 3 (ImageNet standard)

TENSORFLOW VERSION:
- Uses models from TensorFlow Hub:
  - MobileNet
  - ResNet
  - Inception
  - EfficientNet
- Model-specific configurations vary

MODEL CAPABILITY:
- Can fine-tune classification layer
- Extend to new object classes

KEY HYPERPARAMETERS:
- batch_size
- learning_rate
- optimizer

OPTIMIZER PARAMETERS:
- weight_decay
- beta1
- beta2
- epsilon
- gamma

PERFORMANCE CHARACTERISTICS:
- Deep learning model
- Compute intensive

INSTANCE TYPES:

TRAINING:
- Requires GPU
- Recommended:
  - ml.p2
  - ml.p3
  - ml.g4
  - ml.g5
- Supports:
  - Multi-GPU
  - Multi-instance distributed training

INFERENCE:
- CPU or GPU supported
- Options:
  - ml.m5 (CPU)
  - ml.p2 / p3 / g4 / g5 (GPU)

SCALING:
- Highly scalable across instances and GPUs

USE CASES:
- Image labeling
- Content moderation
- Visual search
- Medical imaging classification

LIMITATIONS:
- Does NOT provide object location
- Requires labeled training data

EXAM TRAP:
- Confusing with object detection (location vs label)
- Forgetting transfer learning mode
- Not recognizing MXNet vs TensorFlow difference
- Assuming it outputs bounding boxes
- Ignoring GPU requirement for training

SUMMARY:
- Image Classification = WHAT is in the image (not WHERE)","sagemaker-algo",Medium
0d9fd11a3d7d46299d04fcb38c7087b3,"What is the SageMaker Object Detection algorithm, what problem does it solve, and what are its key characteristics, inputs, models, and performance considerations?","WHAT:
- Detects and classifies objects in an image
- Identifies WHAT is in the image AND WHERE it is
- Outputs bounding boxes, labels, and confidence scores

WHY:
- Identify multiple objects in images
- Determine location of each object
- Used in real-world visual understanding tasks

OUTPUT:
- Object labels
- Bounding box coordinates
- Confidence scores

DIFFERENCE VS IMAGE CLASSIFICATION:
- Object Detection:
  - WHAT + WHERE
- Image Classification:
  - WHAT only

FRAMEWORK VARIANTS:
- MXNet version (original)
- TensorFlow version (model selection flexibility)

MXNET VERSION:
- Uses CNN with SSD (Single Shot Multibox Detector)
- Backbone models:
  - VGG16
  - ResNet-50

TRAINING MODES:
- Full training (random weights)
- Transfer learning (pre-trained ImageNet weights)
- Incremental training supported

REGULARIZATION:
- Uses:
  - Flip
  - Rescale
  - Jitter
- Helps prevent overfitting

TENSORFLOW VERSION:
- Uses TensorFlow Model Garden
- Model choices include:
  - ResNet
  - EfficientNet
  - MobileNet
- Configuration depends on selected model

INPUT FORMAT (MXNET):
- Image formats:
  - JPEG
  - PNG
- OR:
  - RecordIO format

ANNOTATIONS:
- Requires labeled data with bounding boxes
- JSON annotation file per image:
  - Image size
  - Object categories
  - Bounding box coordinates

INPUT FORMAT (TENSORFLOW):
- Depends on chosen model
- More flexible but model-specific

KEY HYPERPARAMETERS:
- batch_size / minibatch_size
- learning_rate
- optimizer

PERFORMANCE CHARACTERISTICS:
- Deep learning model
- Highly compute intensive

INSTANCE TYPES:

TRAINING:
- Requires GPU
- Recommended:
  - ml.p2.xlarge
  - ml.p3.2xlarge
- Supports:
  - Multi-GPU
  - Multi-instance distributed training
- Also supports:
  - ml.g4
  - ml.g5

INFERENCE:
- CPU or GPU supported
- CPU:
  - ml.m5
- GPU:
  - ml.p2 / p3 / g4

USE CASES:
- Autonomous vehicles
- Surveillance systems
- Retail analytics
- Medical imaging

LIMITATIONS:
- Requires labeled bounding box data
- More complex than classification
- Higher compute cost

EXAM TRAP:
- Confusing with image classification
- Forgetting bounding boxes requirement
- Ignoring annotation format (JSON)
- Not knowing SSD is used in MXNet version
- Assuming only classification output

SUMMARY:
- Object Detection = WHAT + WHERE (labels + bounding boxes)","sagemaker-algo",Medium
db27d03bb7da4403b199cfaa3a461c20,"What is the SageMaker Random Cut Forest algorithm, what problem does it solve, and what are its key characteristics, inputs, and performance considerations?","WHAT:
- AWS algorithm for anomaly detection
- Unsupervised learning algorithm
- Detects unusual or anomalous data points

WHY:
- Identify anomalies in datasets
- Detect outliers, unusual patterns, or breaks in trends
- Works well for time series and streaming data

OUTPUT:
- Assigns anomaly score to each data point
- Higher score = more anomalous

KEY CHARACTERISTICS:
- Unsupervised (no labels required)
- Works on sequential or time series data
- Can detect:
  - Breaks in periodicity
  - Unusual patterns
  - Rare events

HOW:
- Builds a forest of random decision trees
- Each tree partitions data randomly
- Measures impact of inserting a new data point:
  - If many new branches are needed → anomaly
- Based on change in tree complexity

RANDOM CUT CONCEPT:
- Data is randomly partitioned
- Trees are constructed using random splits
- Ensemble of trees improves robustness

INPUT FORMAT:
- CSV
- RecordIO protobuf

DATA MODES:
- File mode (full dataset copied)
- Pipe mode (streamed from S3)

OPTIONAL TEST CHANNEL:
- Can evaluate performance using labeled data
- Metrics:
  - Accuracy
  - Precision
  - Recall
  - F1 score

USE CASES:
- Fraud detection
- System monitoring
- Network intrusion detection
- IoT anomaly detection
- Time series anomaly detection

STREAMING SUPPORT:
- Integrated with Kinesis Analytics
- Works on real-time streaming data

KEY HYPERPARAMETERS:
- num_trees:
  - More trees → less noise
- num_samples_per_tree:
  - Should approximate inverse anomaly ratio
  - Helps tune sensitivity

PERFORMANCE CHARACTERISTICS:
- Lightweight compared to deep learning
- Does NOT use GPUs

INSTANCE TYPES:

TRAINING:
- CPU only
- Recommended:
  - ml.m4
  - ml.c4
  - ml.c5

INFERENCE:
- Recommended:
  - ml.c5.xlarge

ADVANTAGES:
- No labeled data required
- Scalable
- Works on streaming and batch data

LIMITATIONS:
- Does not provide classification labels
- Requires tuning for anomaly ratio

EXAM TRAP:
- Thinking it is supervised (it is unsupervised)
- Confusing with classification algorithms
- Assuming GPU usage (CPU only)
- Forgetting anomaly score output
- Not recognizing it works with streaming (Kinesis)

SUMMARY:
- Random Cut Forest = AWS anomaly detection algorithm (unsupervised)","sagemaker-algo",Medium
bad263dca1744b778fa2fa7aced51a15,"What is the SageMaker Neural Topic Model algorithm, what problem does it solve, and what are its key characteristics, inputs, and performance considerations?","WHAT:
- Unsupervised algorithm for topic modeling
- Identifies abstract topics within a collection of documents

WHY:
- Discover hidden themes in documents
- Group documents by underlying topics
- Useful for document organization and summarization

KEY CHARACTERISTICS:
- Unsupervised (no labeled data required)
- Topics are latent (not human-readable labels)
- Groups related words into abstract concepts

EXAMPLE:
- Words like:
  - bike, car, train, speed, mileage
- May form a topic:
  - transportation (interpreted by humans)

OUTPUT:
- Topic distribution per document
- Word distribution per topic

HOW:
- Uses neural variational inference
- Learns latent representations of topics
- Extracts patterns based on word co-occurrence

INPUT REQUIREMENTS:
- Tokenized documents (words converted to integers)
- Vocabulary file mapping words to indices

INPUT FORMAT:
- CSV
- RecordIO protobuf

DATA STRUCTURE:
- Each document represented as:
  - Word count vector over vocabulary
- Vocabulary provided via auxiliary channel

DATA MODES:
- File mode
- Pipe mode (faster)

OPTIONAL CHANNELS:
- Validation / test channel (for evaluation)

KEY HYPERPARAMETERS:
- num_topics:
  - Number of topics to generate
  - Controls abstraction level
- batch_size
- learning_rate

TOPIC BEHAVIOR:
- Topics are not explicitly named
- Must be interpreted based on top words

USE CASES:
- Document clustering
- Topic discovery
- Content recommendation
- Text summarization

PERFORMANCE CHARACTERISTICS:
- Neural network based
- Requires tokenized input
- Works on large document collections

INSTANCE TYPES:

TRAINING:
- GPU recommended (neural network)
- CPU also supported

INFERENCE:
- CPU usually sufficient

LIMITATIONS:
- Topics are not human-readable
- Requires preprocessing (tokenization + vocabulary)
- Requires tuning number of topics

EXAM TRAP:
- Thinking it is supervised (it is unsupervised)
- Expecting human-readable topic names
- Confusing with classification algorithms
- Forgetting tokenization requirement
- Ignoring need for vocabulary file

SUMMARY:
- Neural Topic Model = unsupervised topic discovery from documents","sagemaker-algo",Medium
