id,question,answer,topic,difficulty
55b5313b47a84e108d106834ef0e58e2,What is the purpose of fine-tuning a model in Amazon Bedrock?,Fine-tuning adapts a copy of a foundation model using your own data so the model performs better for a specific use case.,bedrock-model-tuning,Medium
a11972e239cf4fcea3c92856a8dd75ca,What happens to the model during fine-tuning?,"Fine-tuning changes the weights of the base foundation model, allowing it to learn from new training data and become specialized for a task.",bedrock-model-tuning,Easy
a507388fd3664977939e32fae1849c4b,Where must the training data for Bedrock fine-tuning be stored?,The training data must be stored in Amazon S3.,bedrock-model-tuning,Medium
d3981f58a8ab490599ff0c3bd806fc9c,What format is typically used for supervised fine-tuning training data?,"Training data usually consists of input-output pairs, such as prompt to completion. Example: question to correct answer.",bedrock-model-tuning,Medium
6bb12cdd657a485986bb10977a490495,What is supervised fine-tuning?,"Supervised fine-tuning improves a model using labeled examples, where both the input and correct output are provided to the model.",bedrock-model-tuning,Easy
b6bf5f636a07450eb02badc36572cb43,What type of data is used in supervised fine-tuning?,"Labeled data, meaning input and output pairs that show the model the correct response.",bedrock-model-tuning,Medium
d4a86aa5824f4ddd8369ed72650773a5,What is the main goal of supervised fine-tuning?,To improve model performance on a specific task or domain.,bedrock-model-tuning,Medium
2eda110576aa4c9281bd7be165861418,What is reinforcement fine-tuning?,"Reinforcement fine-tuning improves a model using feedback-based learning, where model outputs are evaluated using a reward function.",bedrock-model-tuning,Hard
f752ecffb968414cb7df00397297dc85,What data is provided in reinforcement fine-tuning?,"Only the input prompts are provided. The model generates responses, and a reward function evaluates them.",bedrock-model-tuning,Hard
cf06f938e7de43e29c638a29c2e5190b,How does reinforcement fine-tuning improve the model?,"The model generates multiple responses, which are scored by a reward function, and this feedback is used to improve future outputs.",bedrock-model-tuning,Hard
5c1fe3de87bf46238e470d952dfdd069,What is a reward function in reinforcement fine-tuning?,A system that evaluates model responses and assigns scores to indicate which outputs are better.,bedrock-model-tuning,Hard
190ae943d6cc43f6a23b225d69aede58,How can a reward function be implemented for objective tasks?,"For objective tasks such as math or code, you can implement the reward function using AWS Lambda with custom code.",bedrock-model-tuning,Hard
bd8affb4c5c641c9a9ddfcd6ea73f28c,How can reinforcement learning evaluate subjective responses?,A judge model can evaluate responses using instructions and assign scores based on quality.,bedrock-model-tuning,Hard
ace55c5c141244f3a00c781e1aa6e785,What is a judge model?,A model that evaluates the responses of another model and assigns scores based on given evaluation criteria.,bedrock-model-tuning,Hard
87f9fe5e30674efa84f917517da78762,What is model distillation?,Distillation transfers knowledge from a large teacher model to a smaller student model to create a faster and cheaper model.,bedrock-model-tuning,Hard
e71f93c99e864b4daef18a020433a7fe,Why is distillation used?,"To create models that are faster, cheaper to run, and smaller in size.",bedrock-model-tuning,Hard
143968aa0f754314b051e61782ff9ddd,What is the trade-off of distillation?,"The smaller model is usually less accurate than the larger model, but it is more efficient and cost-effective.",bedrock-model-tuning,Hard
0e91a79f5b1e4bbb842ef753a7bac014,What is the role of the teacher model in distillation?,The teacher model generates responses that are used to train the smaller student model.,bedrock-model-tuning,Hard
781b80689cec403a8b8bc237fa1ddce5,Why can fine-tuning be expensive?,"Because it requires training compute resources, data preparation, and model evaluation.",bedrock-model-tuning,Medium
33da7d5c8fb148c1b8893532f0742f87,Why can running a fine-tuned model be more expensive than a base model?,Fine-tuned models require additional compute resources compared to base foundation models.,bedrock-model-tuning,Medium
b9967b9de374437882f291034921a92f,What are the two ways to run a Bedrock model?,"1. On-demand inference, which is pay per token. 2. Provisioned throughput, which is reserved capacity billed monthly.",bedrock-model-tuning,Hard
af96f4b5817946ee83ffc57b6eea5108,When would you use on-demand inference?,When you want to pay per token and run models without reserving capacity.,bedrock-model-tuning,Hard
85f4ecb976244abe83a0e8de856b5afd,When would you use provisioned throughput?,"When you need consistent capacity and performance, billed monthly.",bedrock-model-tuning,Hard
a3e81c0c4b174276b6bcf4b055793964,What are common use cases of fine-tuning?,"Creating chatbots with a specific tone or persona, training with private or proprietary data, updating models with newer knowledge, and performing specialized tasks like categorization.",bedrock-model-tuning,Medium
7f93fd6aabcb4bdd9dd9e568d8e1f812,What type of professional may be required to perform fine-tuning?,"A machine learning engineer may be required to prepare data, run training, and evaluate the model.",bedrock-model-tuning,Medium
